run_number,run_id,seed,persona,outcome,failure_type,failure_detail,auto_explore_terminal_reason,duration_seconds,deepest_floor,floors_visited,monsters_killed,items_picked_up,potions_used,portals_used,tiles_explored,steps_taken,floor_count,avg_etp_per_floor,bot_steps,bot_floors,bot_actions,bot_contexts,bot_reasons,exception,timestamp,final_hp,final_max_hp,final_hp_percent,potions_remaining_on_death
39,01bf77b3ef08453eb5bb72ba12bcd305,870132010,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,3.17,1,1,3,0,0,0,306,57,1,0.0,46,1,"{'start_auto_explore': 3, 'move': 41, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 43, 'auto_explore_active': 8, 'visible_enemies_turns': 45, 'low_hp': 39}","{'explore': 3, 'combat_engage': 41, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:57:41.784261,-4,56,-0.07142857142857142,
40,31dd3923fd8b45a6b6d633ae9336628e,873359373,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,8.84,1,1,5,18,1,0,600,155,1,0.0,146,1,"{'start_auto_explore': 87, 'move': 38, 'noop': 1, 'drink_potion': 1, 'pickup': 18, 'abort': 1}","{'in_explore': 88, 'in_combat': 40, 'auto_explore_active': 86, 'visible_enemies_turns': 39, 'low_hp': 35, 'in_loot': 18, 'floor_complete': 1}","{'explore': 87, 'combat_engage': 38, 'idle': 1, 'heal_low_hp': 1, 'loot': 18, 'no_stairs': 1}",,2025-12-12T17:57:50.673548,36,56,0.6428571428571429,
41,c19b93a004df49f4a69b4898996d37bb,882248934,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,6.14,1,1,5,13,1,0,600,129,1,0.0,122,1,"{'start_auto_explore': 72, 'move': 34, 'noop': 1, 'drink_potion': 1, 'pickup': 13, 'abort': 1}","{'in_explore': 73, 'in_combat': 36, 'auto_explore_active': 71, 'visible_enemies_turns': 35, 'low_hp': 29, 'in_loot': 13, 'floor_complete': 1}","{'explore': 72, 'combat_engage': 34, 'idle': 1, 'heal_low_hp': 1, 'loot': 13, 'no_stairs': 1}",,2025-12-12T17:57:56.867186,36,56,0.6428571428571429,
42,96690c4245554ac584c6e7edd37c9993,888442604,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,2.31,1,1,5,2,1,0,289,65,1,0.0,52,1,"{'start_auto_explore': 3, 'move': 38, 'noop': 1, 'drink_potion': 7, 'pickup': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 46, 'auto_explore_active': 10, 'visible_enemies_turns': 41, 'low_hp': 40, 'in_loot': 3}","{'explore': 3, 'combat_engage': 38, 'idle': 1, 'heal_low_hp': 7, 'loot': 2, 'stuck_movement_blocked': 1}",,2025-12-12T17:57:59.227463,35,56,0.625,
43,a7414b1cb21e4a349497ebf9271e92b4,890802585,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,6.22,1,1,5,16,1,0,600,134,1,0.0,125,1,"{'start_auto_explore': 63, 'move': 43, 'noop': 1, 'drink_potion': 1, 'pickup': 16, 'abort': 1}","{'in_explore': 64, 'in_combat': 45, 'auto_explore_active': 62, 'visible_enemies_turns': 44, 'low_hp': 36, 'in_loot': 16, 'floor_complete': 1}","{'explore': 63, 'combat_engage': 43, 'idle': 1, 'heal_low_hp': 1, 'loot': 16, 'no_stairs': 1}",,2025-12-12T17:58:05.502081,40,56,0.7142857142857143,
44,2a04795779ea41f7b937109b6e3d70a0,897077343,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,5.82,1,1,5,18,1,0,600,158,1,0.0,152,1,"{'start_auto_explore': 89, 'move': 42, 'noop': 1, 'drink_potion': 1, 'pickup': 18, 'abort': 1}","{'in_explore': 90, 'in_combat': 44, 'auto_explore_active': 88, 'visible_enemies_turns': 43, 'low_hp': 38, 'in_loot': 18, 'floor_complete': 1}","{'explore': 89, 'combat_engage': 42, 'idle': 1, 'heal_low_hp': 1, 'loot': 18, 'no_stairs': 1}",,2025-12-12T17:58:11.369239,38,56,0.6785714285714286,
45,4f313967f97f4a7e8368fa1ec1b606aa,902944637,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,5.58,1,1,5,2,1,0,289,75,1,0.0,62,1,"{'start_auto_explore': 3, 'move': 48, 'noop': 1, 'drink_potion': 7, 'pickup': 2, 'abort': 1}","{'in_explore': 3, 'in_combat': 56, 'auto_explore_active': 10, 'visible_enemies_turns': 51, 'low_hp': 50, 'in_loot': 3}","{'explore': 3, 'combat_engage': 48, 'idle': 1, 'heal_low_hp': 7, 'loot': 2, 'stuck_movement_blocked': 1}",,2025-12-12T17:58:16.995759,31,56,0.5535714285714286,
46,3af9deed5661492881a2a01458365794,908571030,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,6.03,1,1,5,15,1,0,600,129,1,0.0,123,1,"{'start_auto_explore': 61, 'move': 44, 'noop': 1, 'drink_potion': 1, 'pickup': 15, 'abort': 1}","{'in_explore': 62, 'in_combat': 46, 'auto_explore_active': 60, 'visible_enemies_turns': 45, 'low_hp': 39, 'in_loot': 15, 'floor_complete': 1}","{'explore': 61, 'combat_engage': 44, 'idle': 1, 'heal_low_hp': 1, 'loot': 15, 'no_stairs': 1}",,2025-12-12T17:58:23.087563,36,56,0.6428571428571429,
47,b7113cbe6a0e439589528b308d99b78c,914662983,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,movement_blocked,2.25,1,1,4,0,0,0,289,62,1,0.0,49,1,"{'start_auto_explore': 3, 'move': 44, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 46, 'auto_explore_active': 6, 'visible_enemies_turns': 48, 'low_hp': 42}","{'explore': 3, 'combat_engage': 44, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:58:25.388675,0,56,0.0,
48,3998eaea27a1427a844bf63f97b6da89,916963754,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,2.27,1,1,4,0,0,0,289,62,1,0.0,50,1,"{'start_auto_explore': 3, 'move': 45, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 47, 'auto_explore_active': 8, 'visible_enemies_turns': 49, 'low_hp': 40}","{'explore': 3, 'combat_engage': 45, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:58:27.706062,-5,56,-0.08928571428571429,
49,0917630ff3a4492990ce99e36ee37166,919281183,balanced,no_stairs,no_stairs,no_stairs,all_areas_explored,7.64,1,1,5,17,1,0,600,149,1,0.0,139,1,"{'start_auto_explore': 87, 'move': 32, 'noop': 1, 'drink_potion': 1, 'pickup': 17, 'abort': 1}","{'in_explore': 88, 'in_combat': 34, 'auto_explore_active': 86, 'visible_enemies_turns': 33, 'low_hp': 25, 'in_loot': 17, 'floor_complete': 1}","{'explore': 87, 'combat_engage': 32, 'idle': 1, 'heal_low_hp': 1, 'loot': 17, 'no_stairs': 1}",,2025-12-12T17:58:35.399906,30,56,0.5357142857142857,
50,084a5d67a5a74b1a9a0556e8a42d0697,926975337,balanced,stuck,stuck_autoexplore,stuck_movement_blocked,other,3.38,1,1,4,0,0,0,289,70,1,0.0,54,1,"{'start_auto_explore': 3, 'move': 49, 'noop': 1, 'abort': 1}","{'in_explore': 3, 'in_combat': 51, 'auto_explore_active': 8, 'visible_enemies_turns': 53, 'low_hp': 45}","{'explore': 3, 'combat_engage': 49, 'idle': 1, 'stuck_movement_blocked': 1}",,2025-12-12T17:58:38.829664,-3,56,-0.05357142857142857,
